,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene,pct.diff
ATPAF1,1.22E-14,0.269387504,0.317,0.061,1.73E-10,1,ATPAF1,0.256
FAM173A,1.24E-14,0.29040791,0.438,0.131,1.77E-10,1,FAM173A,0.307
RCN1,1.35E-14,0.367243895,0.455,0.155,1.93E-10,1,RCN1,0.3
PGAM1,1.38E-14,0.396966363,0.688,0.397,1.96E-10,1,PGAM1,0.291
OGFOD3,1.42E-14,0.251123861,0.348,0.077,2.03E-10,1,OGFOD3,0.271
STXBP1,1.50E-14,0.304125547,0.433,0.131,2.13E-10,1,STXBP1,0.302
GABARAPL2,1.53E-14,0.311322907,0.875,0.66,2.18E-10,1,GABARAPL2,0.215
RILP,1.56E-14,0.310336553,0.415,0.121,2.22E-10,1,RILP,0.294
CYB5R1,1.60E-14,0.368188786,0.473,0.165,2.28E-10,1,CYB5R1,0.308
CHPF,1.63E-14,0.307547151,0.42,0.121,2.32E-10,1,CHPF,0.299
PRDX3,1.65E-14,0.348308874,0.741,0.468,2.36E-10,1,PRDX3,0.273
CLDN23,1.81E-14,0.29162511,0.277,0.04,2.58E-10,1,CLDN23,0.237
ACTB,1.87E-14,0.324397027,1,1,2.67E-10,1,ACTB,0
PSMC4,1.89E-14,0.323435647,0.509,0.192,2.70E-10,1,PSMC4,0.317
MRPS14,1.97E-14,0.287800388,0.42,0.125,2.81E-10,1,MRPS14,0.295
CAT,1.99E-14,0.361742172,0.536,0.209,2.84E-10,1,CAT,0.327
OAZ2,2.02E-14,0.320900791,0.513,0.195,2.88E-10,1,OAZ2,0.318
NR1H2,2.05E-14,0.303363485,0.478,0.165,2.93E-10,1,NR1H2,0.313
MFSD4A,2.14E-14,0.355803663,0.455,0.152,3.05E-10,1,MFSD4A,0.303
FUNDC2,2.15E-14,0.317367901,0.469,0.158,3.07E-10,1,FUNDC2,0.311
B2M,2.21E-14,0.304102439,1,1,3.15E-10,1,B2M,0
ERP29,2.22E-14,0.351180425,0.897,0.68,3.17E-10,1,ERP29,0.217
WBP2,2.30E-14,0.377629939,0.522,0.205,3.29E-10,1,WBP2,0.317
SRP14,2.40E-14,0.293670544,1,0.963,3.43E-10,1,SRP14,0.037
KDELR3,2.43E-14,0.304203892,0.286,0.047,3.46E-10,1,KDELR3,0.239
TMEM230,2.43E-14,0.384786521,0.763,0.545,3.47E-10,1,TMEM230,0.218
SLC40A1,2.52E-14,0.363764118,0.469,0.165,3.60E-10,1,SLC40A1,0.304
DGCR6L,2.55E-14,0.284922968,0.429,0.131,3.64E-10,1,DGCR6L,0.298
RAB40C,2.62E-14,0.276238117,0.402,0.111,3.73E-10,1,RAB40C,0.291
EFNA1,2.63E-14,0.406673974,0.902,0.734,3.76E-10,1,EFNA1,0.168
EMC4,2.93E-14,0.337993719,0.558,0.239,4.18E-10,1,EMC4,0.319
SLC38A10,3.11E-14,0.349997293,0.482,0.185,4.43E-10,1,SLC38A10,0.297
BOLA1,3.16E-14,0.250735557,0.317,0.061,4.51E-10,1,BOLA1,0.256
SAT2,3.29E-14,0.402134129,0.509,0.209,4.69E-10,1,SAT2,0.3
NMRAL1,3.32E-14,0.306313382,0.46,0.155,4.73E-10,1,NMRAL1,0.305
PYCARD,3.54E-14,0.295618093,0.433,0.131,5.06E-10,1,PYCARD,0.302
ARMCX3,3.54E-14,0.353075148,0.464,0.165,5.06E-10,1,ARMCX3,0.299
FBXO25,3.74E-14,0.288110202,0.357,0.088,5.33E-10,1,FBXO25,0.269
RFXANK,3.83E-14,0.320342118,0.451,0.152,5.46E-10,1,RFXANK,0.299
SURF4,3.84E-14,0.362809298,0.696,0.394,5.47E-10,1,SURF4,0.302
FCGR2A,3.98E-14,0.405955569,0.429,0.135,5.68E-10,1,FCGR2A,0.294
PRDX4,4.05E-14,0.368434114,0.509,0.209,5.77E-10,1,PRDX4,0.3
RBPMS,4.19E-14,0.363147125,0.853,0.714,5.98E-10,1,RBPMS,0.139
EAPP,4.26E-14,0.31789554,0.509,0.185,6.08E-10,1,EAPP,0.324
PCBD1,4.47E-14,0.305304377,0.848,0.646,6.38E-10,1,PCBD1,0.202
METTL9,5.15E-14,0.346476141,0.567,0.246,7.34E-10,1,METTL9,0.321
TCEAL3,5.54E-14,0.313383094,0.415,0.128,7.90E-10,1,TCEAL3,0.287
COPZ1,5.80E-14,0.363055149,0.554,0.242,8.27E-10,1,COPZ1,0.312
H3F3A,5.84E-14,0.304717363,1,0.98,8.33E-10,1,H3F3A,0.02
PIGT,6.61E-14,0.324873362,0.46,0.162,9.44E-10,1,PIGT,0.298
MRPS7,6.87E-14,0.325185279,0.496,0.189,9.80E-10,1,MRPS7,0.307
IMPA2,7.35E-14,0.338919562,0.402,0.125,1.05E-09,1,IMPA2,0.277
PHPT1,7.73E-14,0.358071994,0.897,0.714,1.10E-09,1,PHPT1,0.183
MVB12A,7.82E-14,0.276305724,0.415,0.128,1.12E-09,1,MVB12A,0.287
DHRS7,8.11E-14,0.371317221,0.777,0.556,1.16E-09,1,DHRS7,0.221
DEPTOR,8.19E-14,0.290794415,0.366,0.094,1.17E-09,1,DEPTOR,0.272
