"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff"
"MAMDC2",0,1.01493154565449,0.411,0.002,0,"4","MAMDC2",0.409
"SLIT2",0,0.988262565045701,0.446,0.005,0,"4","SLIT2",0.441
"MMP23B",0,0.913811059231589,0.438,0.019,0,"4","MMP23B",0.419
"ISLR",0,0.911541096658562,0.407,0.003,0,"4","ISLR",0.404
"MOXD1",0,0.91130555789482,0.33,0.001,0,"4","MOXD1",0.329
"CHRDL1",0,0.880172871239065,0.387,0.004,0,"4","CHRDL1",0.383
"SLIT3",0,0.871423727489119,0.381,0.002,0,"4","SLIT3",0.379
"RERG",0,0.862424912748336,0.44,0.003,0,"4","RERG",0.437
"LAMA2",0,0.853278168629183,0.399,0.003,0,"4","LAMA2",0.396
"PRRX1",0,0.850621583969875,0.375,0.003,0,"4","PRRX1",0.372
"SVEP1",0,0.842034433132163,0.346,0,0,"4","SVEP1",0.346
"SPON1",0,0.84187043458453,0.43,0.006,0,"4","SPON1",0.424
"ITGA8",0,0.820399903158025,0.332,0.005,0,"4","ITGA8",0.327
"COL5A1",0,0.787988098828862,0.379,0.011,0,"4","COL5A1",0.368
"LOXL1",0,0.7782046598472,0.387,0.01,0,"4","LOXL1",0.377
"TMEM119",0,0.768219669025362,0.342,0,0,"4","TMEM119",0.342
"ABCA6",0,0.766336347005107,0.358,0.004,0,"4","ABCA6",0.354
"VGLL3",0,0.761753242014928,0.342,0.006,0,"4","VGLL3",0.336
"ECM2",0,0.742679988512665,0.417,0.002,0,"4","ECM2",0.415
"HMCN1",0,0.741502345192838,0.393,0.012,0,"4","HMCN1",0.381
"DDR2",0,0.734082732860138,0.411,0.014,0,"4","DDR2",0.397
"SGCA",0,0.681810208408943,0.312,0.001,0,"4","SGCA",0.311
"HSPB6",0,0.679555637672922,0.297,0.001,0,"4","HSPB6",0.296
"F10",0,0.676444187026451,0.344,0.001,0,"4","F10",0.343
"BICC1",0,0.673732065842645,0.373,0.008,0,"4","BICC1",0.365
"NKD2",0,0.635497751544168,0.303,0.002,0,"4","NKD2",0.301
"PDE5A",0,0.584719274982133,0.383,0.008,0,"4","PDE5A",0.375
"HSD11B1",0,0.576446787132111,0.299,0.001,0,"4","HSD11B1",0.298
"OLFML1",0,0.5224474928275,0.348,0.002,0,"4","OLFML1",0.346
"C1QTNF7",0,0.502624145140922,0.285,0,0,"4","C1QTNF7",0.285
"VCAN",1.6249452837131e-307,1.25494594372043,0.466,0.027,3.63305266532574e-303,"4","VCAN",0.439
"BCHE",4.67635054581688e-305,0.833465635379651,0.293,0.001,1.04553845503374e-300,"4","BCHE",0.292
